name,address,details_url,image_url
Alexandre’s Bar,"Rua David Alves do Vale, 68 | Santa Rosa, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/alexandres-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134138/alexandresbar_fabulosodiscao_bh_2025_isaquerodrigues_unibh-8111-scaled.jpg
Amarelim do Prado,"Avenida Francisco Sá, 658 | Prado, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/amarelim-do-prado/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134238/amarelimdoprado_tremderocas_bh_2025_isaquerodrigues_unibh-7527-scaled.jpg
Andrade’s Beer,"Rua Dona Geni, 32 |  Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/andrades-beer/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19134640/andradesbeer_choracanelinha_bh_2025_rodneycosta_unibh-9247-scaled.jpg
Arcos Bar,"Rua da Bahia, 1144 | Centro, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/arcos-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051259/arcos_pratodadiversidade_bh_2025_rodneycosta_unibh-7624-scaled.jpg
Armazém Santa Amélia,"Avenida da Sinfonia, 253 | Santa Amélia, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/armazem-santa-amelia/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19135257/armazemsantaamelia_segredodoarmazem_bh_2025_isaquerodrigues_unibh-7616-scaled.jpg
Avalanche Espeteria,"Avenida Doutor Álvaro Camargos, 1113 | São João Batista, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/avalanche-espeteria/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19140742/avalanche_milaomaluco_bh_2025_rodneycosta_unibh-8764-scaled.jpg
Azougue Fogo e Bar,"Rua do Ouro, 835 | Serra, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/azougue-fogo-e-bar/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051233/azougue_linguadevovovirinha_bh_2025_isaquerodrigues_unibh-7366-scaled.jpg
Baiuca,"Rua Piauí, 1884 | Funcionários, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/baiuca/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142244/baiuca_caneladasuina_bh_2025_rodneycosta_unibh-7505-scaled.jpg
Bar Bambú,"Rua Divisa Nova, 670 | Salgado Filho, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/3231-revision-v1/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/15051202/barbambu_camaraoquedorme_bh_2025_fernandaoliveira_unibh-8355-scaled.jpg
Bar Bendita Baderna,"Rua Silva Fortes, 47 | União, Belo Horizonte - MG",https://comidadibuteco.com.br/buteco/bar-bendita-baderna/,https://cdb-static-files.s3.amazonaws.com/wp-content/uploads/2025/03/19142754/benditabaderna_parabenscdb_bh_2025_rodneycosta_unibh-8203-scaled.jpg
