full_address;address;name;lat;lng;data;alvara;cdb_idx
RUA DESEMBARGADOR REIS ALVES, 90, ANDAR: 2,, BAIRRO DAS INDUSTRIAS I, Belo Horizonte, Minas Gerais, Brasil;RUA DESEMBARGADOR REIS ALVES, 90, BAIRRO DAS INDUSTRIAS I, Belo Horizonte, Minas Gerais, Brasil;APARECIDA MARIA DE SOUZA;-19.9589334;-44.0017603;01-07-1993;NÃO;-1
RUA LUIZ PONGELUPE, 290, C, CARDOSO, Belo Horizonte, Minas Gerais, Brasil;RUA LUIZ PONGELUPE, 290, CARDOSO, Belo Horizonte, Minas Gerais, Brasil;PIZZARIA E CHURRASCARIA VARANDA;;;15-10-1993;NÃO;-1
AVE RESSACA, 118, LOJA 04, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;AVE RESSACA, 118, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;RABBIT BURGER;;;02-05-1994;NÃO;-1
RUA DESEMBARGADOR RIBEIRO DA LUZ, 135, nan, BARREIRO, Belo Horizonte, Minas Gerais, Brasil;RUA DESEMBARGADOR RIBEIRO DA LUZ, 135, BARREIRO, Belo Horizonte, Minas Gerais, Brasil;TATU REI DO ANGU A  BAHIANA;-19.9732823;-44.0141195;24-11-1993;SIM;-1
AVE CRISTIANO MACHADO, 1950, LOJA 36, CIDADE NOVA, Belo Horizonte, Minas Gerais, Brasil;AVE CRISTIANO MACHADO, 1950, CIDADE NOVA, Belo Horizonte, Minas Gerais, Brasil;ESPACO DA FEIJOADA;;;01-10-1993;SIM;-1
RUA LUZIA SALOMAO, 50, nan, MANTIQUEIRA, Belo Horizonte, Minas Gerais, Brasil;RUA LUZIA SALOMAO, 50, MANTIQUEIRA, Belo Horizonte, Minas Gerais, Brasil;AECIO CARLOS MIGUEL LEMOS 99648725691;-19.8027128;-43.9798377;15-12-2020;NÃO;-1
RUA BRAULIO GOMES NOGUEIRA, 1200, nan, ITAIPU, Belo Horizonte, Minas Gerais, Brasil;RUA BRAULIO GOMES NOGUEIRA, 1200, ITAIPU, Belo Horizonte, Minas Gerais, Brasil;CHURRASCARIA BAHIAS BAR LTDA;-19.9945782;-44.0464278;16-09-2011;SIM;-1
RUA DOS OTONI, 222, LETRA: A,, SANTA EFIGENIA, Belo Horizonte, Minas Gerais, Brasil;RUA DOS OTONI, 222, SANTA EFIGENIA, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE NOVO SABOR;-19.9264845;-43.9245162;16-09-2011;SIM;-1
RUA DOS TUPINAMBAS, 1100, LOJA: 04,, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RUA DOS TUPINAMBAS, 1100, CENTRO, Belo Horizonte, Minas Gerais, Brasil;BAR DO MELO LTDA;-19.9164141;-43.9443398;28-09-2011;SIM;-1
AVE SOLFERINA RICCI PACE, 1301, nan, CONJUNTO JATOBA, Belo Horizonte, Minas Gerais, Brasil;AVE SOLFERINA RICCI PACE, 1301, CONJUNTO JATOBA, Belo Horizonte, Minas Gerais, Brasil;DU DAY RESTAURANTE, LANCHONETE E DISTRIBUIDORA DE BEBIDAS LTDA;;;27-09-2011;SIM;-1
RUA FURQUIM WERNECK, 619, nan, TUPI A, Belo Horizonte, Minas Gerais, Brasil;RUA FURQUIM WERNECK, 619, TUPI A, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE E PIZZARIA VALORES DE MINAS;;;26-08-2011;NÃO;-1
RUA SALINAS, 1547, nan, SANTA TEREZA, Belo Horizonte, Minas Gerais, Brasil;RUA SALINAS, 1547, SANTA TEREZA, Belo Horizonte, Minas Gerais, Brasil;SHIRLEY FRAGUAS MESQUITA 85413178620;-19.9148029;-43.9230373;30-09-2011;NÃO;-1
RUA OLINTO MAGALHAES, 710, nan, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;RUA OLINTO MAGALHAES, 710, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;JOEL MARTINS 03590726660;-19.9135199;-43.9854158;21-09-2011;SIM;-1
ALA DAS FLORES, 8, nan, VILA SUMARE, Belo Horizonte, Minas Gerais, Brasil;ALA DAS FLORES, 8, VILA SUMARE, Belo Horizonte, Minas Gerais, Brasil;DIVINA DA CONSOLACAO SILVA 70054436672;;;12-09-2011;NÃO;-1
RUA JOSE FELIX MARTINS, 560, nan, MANTIQUEIRA, Belo Horizonte, Minas Gerais, Brasil;RUA JOSE FELIX MARTINS, 560, MANTIQUEIRA, Belo Horizonte, Minas Gerais, Brasil;FERNANDO CARLOS ROSA 39953084653;-19.7995836;-43.9839528;30-08-2011;NÃO;-1
RUA MANGARATIBA, 390, nan, SAO GERALDO, Belo Horizonte, Minas Gerais, Brasil;RUA MANGARATIBA, 390, SAO GERALDO, Belo Horizonte, Minas Gerais, Brasil;PIZZAIOLO SAO GERALDO II;-19.9016216;-43.901457;21-09-2011;NÃO;-1
AVE OIAPOQUE, 156, ANDAR 2 LOJA M 001, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE OIAPOQUE, 156, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE BAO TAMEM LTDA;;;30-08-2011;SIM;-1
RUA SERGIPE, 1360, nan, SAVASSI, Belo Horizonte, Minas Gerais, Brasil;RUA SERGIPE, 1360, SAVASSI, Belo Horizonte, Minas Gerais, Brasil;XICO DO CHURRASCO SAVASSI;-19.9382457;-43.9384554;21-09-2011;NÃO;-1
RUA DONA MARIA SENHORA, 853, nan, DIAMANTE, Belo Horizonte, Minas Gerais, Brasil;RUA DONA MARIA SENHORA, 853, DIAMANTE, Belo Horizonte, Minas Gerais, Brasil;SELMO PEREIRA COIMBRA 95585494600;-19.9983722;-44.02238;06-10-2011;NÃO;-1
RUA CARLOS TORREZANI, 285, LOJA: 1,, LETICIA, Belo Horizonte, Minas Gerais, Brasil;RUA CARLOS TORREZANI, 285, LETICIA, Belo Horizonte, Minas Gerais, Brasil;CANTINA DO CHURRASCO;-19.8094611;-43.9804162;30-09-2011;SIM;-1
AVE RAJA GABAGLIA, 2664, TERREO1 SUBSL 1, ESTORIL, Belo Horizonte, Minas Gerais, Brasil;AVE RAJA GABAGLIA, 2664, ESTORIL, Belo Horizonte, Minas Gerais, Brasil;TOSCANINI CAFE;;;14-09-2011;SIM;-1
RUA DOUTOR JOAO MIRANDA, 188, APT 201, DONA CLARA, Belo Horizonte, Minas Gerais, Brasil;RUA DOUTOR JOAO MIRANDA, 188, DONA CLARA, Belo Horizonte, Minas Gerais, Brasil;EMANUELLA LARISSA VALADARES LIPARIZI 07264033694;-19.8612876;-43.9362088;25-09-2011;NÃO;-1
RUA CATALUNHA, 443, nan, SANTA TEREZINHA, Belo Horizonte, Minas Gerais, Brasil;RUA CATALUNHA, 443, SANTA TEREZINHA, Belo Horizonte, Minas Gerais, Brasil;MAURILO JOSE DUTRA FILHO 00490044689;-19.8725355;-44.0098436;26-09-2011;NÃO;-1
AVE OIAPOQUE, 221, LOJA A 13 ,ANDAR 3:, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE OIAPOQUE, 221, CENTRO, Belo Horizonte, Minas Gerais, Brasil;VANESSA FERREIRA DE PAULA 06002963693;;;03-10-2011;NÃO;-1
RUA JOSE CLETO, 901, LOJA,, SANTA CRUZ, Belo Horizonte, Minas Gerais, Brasil;RUA JOSE CLETO, 901, SANTA CRUZ, Belo Horizonte, Minas Gerais, Brasil;TITIA ZITA;-19.8765417;-43.931516;02-09-2011;NÃO;-1
RUA ALABASTRO, 345, LOJA C, SAGRADA FAMILIA, Belo Horizonte, Minas Gerais, Brasil;RUA ALABASTRO, 345, SAGRADA FAMILIA, Belo Horizonte, Minas Gerais, Brasil;ADENILSON JOSE APARECIDO VIEIRA 04589142660;-19.9113359;-43.9208918;05-10-2011;NÃO;-1
RUA DA BAHIA, 615, LOJA 17, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RUA DA BAHIA, 615, CENTRO, Belo Horizonte, Minas Gerais, Brasil;BAR E RESTAURANTE FORTUNA DE MINAS LTDA;-19.9214255;-43.9365262;08-02-1971;SIM;-1
RUA DOS GUARANIS, 600, nan, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RUA DOS GUARANIS, 600, CENTRO, Belo Horizonte, Minas Gerais, Brasil;BAR DO GIL;-19.916232;-43.9423878;01-11-1978;SIM;-1
RUA DA BAHIA, 1403, LOJA A, LOURDES, Belo Horizonte, Minas Gerais, Brasil;RUA DA BAHIA, 1403, LOURDES, Belo Horizonte, Minas Gerais, Brasil;BAR E RESTAURANTE CHANTECLER LTDA;-19.9387179;-43.9412853;01-02-1957;NÃO;-1
RUA AUGUSTO DOS ANJOS, 743, LOJA, RIO BRANCO, Belo Horizonte, Minas Gerais, Brasil;RUA AUGUSTO DOS ANJOS, 743, RIO BRANCO, Belo Horizonte, Minas Gerais, Brasil;BAR RECANTO DA AMIZADE;-19.8182833;-43.9854839;26-06-1980;SIM;-1
AVE AUGUSTO DE LIMA, 744, LOJA 167, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE AUGUSTO DE LIMA, 744, CENTRO, Belo Horizonte, Minas Gerais, Brasil;CASA CHEIA;;;01-11-1978;SIM;-1
RUA WILSON ROCHA LIMA, 80, nan, SANTA LUCIA, Belo Horizonte, Minas Gerais, Brasil;RUA WILSON ROCHA LIMA, 80, SANTA LUCIA, Belo Horizonte, Minas Gerais, Brasil;SUNTOR RESTAURANTE & CAFETERIA;-19.9704174;-43.9556202;30-12-2024;NÃO;-1
AVE GUARAPARI, 1166, LETRA A, SANTA AMELIA, Belo Horizonte, Minas Gerais, Brasil;AVE GUARAPARI, 1166, SANTA AMELIA, Belo Horizonte, Minas Gerais, Brasil;CHURRASCARIA SANTA AMELIA;;;15-09-1979;SIM;-1
AVE CRISTIANO MACHADO, 5480, nan, SAO PAULO, Belo Horizonte, Minas Gerais, Brasil;AVE CRISTIANO MACHADO, 5480, SAO PAULO, Belo Horizonte, Minas Gerais, Brasil;BAR E RESTAURANTE PENA VERDE LTDA;;;01-04-1981;SIM;-1
RUA DOS AIMORES, 1065, nan, BOA VIAGEM, Belo Horizonte, Minas Gerais, Brasil;RUA DOS AIMORES, 1065, BOA VIAGEM, Belo Horizonte, Minas Gerais, Brasil;LANCHES TROPPO BUONO LTDA;-19.9288081;-43.9364357;08-03-1982;NÃO;-1
RUA ESMERALDA, 604, nan, PRADO, Belo Horizonte, Minas Gerais, Brasil;RUA ESMERALDA, 604, PRADO, Belo Horizonte, Minas Gerais, Brasil;GUT BAR LTDA;-19.9267616;-43.9618748;02-01-1978;SIM;-1
RUA LAGOA DA PRATA, 480, nan, SALGADO FILHO, Belo Horizonte, Minas Gerais, Brasil;RUA LAGOA DA PRATA, 480, SALGADO FILHO, Belo Horizonte, Minas Gerais, Brasil;MESSIAS BAR LTDA;-19.9441832;-43.9838821;02-05-1977;SIM;-1
AVE OLEGARIO MACIEL, 714, BOX 107, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE OLEGARIO MACIEL, 714, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE DO ZEQUINHA;;;01-07-1977;NÃO;-1
RUA ICANA, 33, nan, NOVA SUISSA, Belo Horizonte, Minas Gerais, Brasil;RUA ICANA, 33, NOVA SUISSA, Belo Horizonte, Minas Gerais, Brasil;LANCHONETE E MERCEARIA JEQUITINHONHA LTDA;-19.936467;-43.975442;01-11-1977;SIM;-1
RUA JACUI, 463, nan, COLEGIO BATISTA, Belo Horizonte, Minas Gerais, Brasil;RUA JACUI, 463, COLEGIO BATISTA, Belo Horizonte, Minas Gerais, Brasil;BAR ROSICLE;-19.9042516;-43.9323855;02-01-1962;SIM;-1
RUA CONSELHEIRO DANTAS, 6, nan, CALAFATE, Belo Horizonte, Minas Gerais, Brasil;RUA CONSELHEIRO DANTAS, 6, CALAFATE, Belo Horizonte, Minas Gerais, Brasil;BAR DA PRACA;-19.9240145;-43.9674524;02-04-1982;SIM;-1
RUA PENAFIEL, 186, nan, ANCHIETA, Belo Horizonte, Minas Gerais, Brasil;RUA PENAFIEL, 186, ANCHIETA, Belo Horizonte, Minas Gerais, Brasil;BAR E CAFE SANDRA LTDA;-19.9500233;-43.9270906;16-09-1964;NÃO;-1
AVE OLINTO MEIRELES, 316, nan, BARREIRO, Belo Horizonte, Minas Gerais, Brasil;AVE OLINTO MEIRELES, 316, BARREIRO, Belo Horizonte, Minas Gerais, Brasil;LELIA ALVES PEREIRA MARTINS;;;23-08-2011;NÃO;-1
RUA ELISIO DE BRITO, 205, nan, BOA VISTA, Belo Horizonte, Minas Gerais, Brasil;RUA ELISIO DE BRITO, 205, BOA VISTA, Belo Horizonte, Minas Gerais, Brasil;BAR SO LAZARO LTDA;-19.8962505;-43.90653;08-06-1977;SIM;-1
RUA SAO MATIAS, 143, nan, SAO SALVADOR, Belo Horizonte, Minas Gerais, Brasil;RUA SAO MATIAS, 143, SAO SALVADOR, Belo Horizonte, Minas Gerais, Brasil;SORVETERIA TEIXEIRA LTDA;-19.8904765;-44.0135417;15-08-1979;NÃO;-1
RUA CAMPO FORMOSO, 166, nan, SALGADO FILHO, Belo Horizonte, Minas Gerais, Brasil;RUA CAMPO FORMOSO, 166, SALGADO FILHO, Belo Horizonte, Minas Gerais, Brasil;BAR CAMPO FORMOSO LTDA;-19.9469299;-43.9857617;01-11-1980;NÃO;-1
RUA ALAGOAS, 763, nan, SAVASSI, Belo Horizonte, Minas Gerais, Brasil;RUA ALAGOAS, 763, SAVASSI, Belo Horizonte, Minas Gerais, Brasil;CHL LIMITADA;-19.9342903;-43.9359366;24-08-1981;NÃO;-1
AVE OLEGARIO MACIEL, 474, LOJA: B,, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE OLEGARIO MACIEL, 474, CENTRO, Belo Horizonte, Minas Gerais, Brasil;GULU BAR E RESTAURANTE LTDA;;;22-08-2011;SIM;-1
RUA ELISIO DE BRITO, 395, nan, BOA VISTA, Belo Horizonte, Minas Gerais, Brasil;RUA ELISIO DE BRITO, 395, BOA VISTA, Belo Horizonte, Minas Gerais, Brasil;JAIME BOTELHO DE LIMA;-19.8962505;-43.90653;01-10-1969;NÃO;-1
RUA DOS TAMOIOS, 499, nan, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RUA DOS TAMOIOS, 499, CENTRO, Belo Horizonte, Minas Gerais, Brasil;BAR E CAFE BEIRUTE LTDA;-19.9198038;-43.9410821;01-01-1955;SIM;-1
AVE AUGUSTO DE LIMA, 744, LOJA 115, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE AUGUSTO DE LIMA, 744, CENTRO, Belo Horizonte, Minas Gerais, Brasil;BAR DA LORA;;;01-03-1973;SIM;-1
AVE OLEGARIO MACIEL, 2280, nan, SANTO AGOSTINHO, Belo Horizonte, Minas Gerais, Brasil;AVE OLEGARIO MACIEL, 2280, SANTO AGOSTINHO, Belo Horizonte, Minas Gerais, Brasil;PIZZARELLA;;;10-12-1971;SIM;-1
RUA PADRE EUSTAQUIO, 2494, LOJA: 00,, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;RUA PADRE EUSTAQUIO, 2494, PADRE EUSTAQUIO, Belo Horizonte, Minas Gerais, Brasil;BOLA BAR;-19.9174447;-43.9776856;01-07-1980;SIM;-1
RUA PINHEIRO CHAGAS, 406, nan, BARREIRO, Belo Horizonte, Minas Gerais, Brasil;RUA PINHEIRO CHAGAS, 406, BARREIRO, Belo Horizonte, Minas Gerais, Brasil;BAR E RESTAURANTE TRUPICO MINEIRO LTDA;-19.980685;-44.0128009;20-07-1980;SIM;-1
AVE PROFESSOR ALFREDO BALENA, 190, SETOR: RU SAUDE,, SANTA EFIGENIA, Belo Horizonte, Minas Gerais, Brasil;AVE PROFESSOR ALFREDO BALENA, 190, SANTA EFIGENIA, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE CAMPUS SAUDE;;;29-10-2012;SIM;-1
AVE ALVARES CABRAL, 211, SUBSL: RU DIREITO,, CENTRO, Belo Horizonte, Minas Gerais, Brasil;AVE ALVARES CABRAL, 211, CENTRO, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE FACULDADE DE DIREITO;;;29-10-2012;SIM;-1
AVE PRESIDENTE ANTONIO CARLOS, 6627, SETOR: RU SETORIAL II,, CAMPUS UFMG, Belo Horizonte, Minas Gerais, Brasil;AVE PRESIDENTE ANTONIO CARLOS, 6627, CAMPUS UFMG, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE CAMPUS PAMPULHA-SETORIAL II;;;29-10-2012;NÃO;-1
AVE PRESIDENTE ANTONIO CARLOS, 6627, SETOR: RU SETORIAL I,, CAMPUS UFMG, Belo Horizonte, Minas Gerais, Brasil;AVE PRESIDENTE ANTONIO CARLOS, 6627, CAMPUS UFMG, Belo Horizonte, Minas Gerais, Brasil;RESTAURANTE CAMPUS PAMPULHA-SETORIAL I;;;29-10-2012;NÃO;-1
